! .
' '
I've PPSS+HV
I.Q. NP
Iceland NP
Icelandic NP
Icelandic-speaking JJ
If CS
In IN
India NP
India NP-TL
Indian JJ
Insects NNS
Insomnia NN
Instead RB
Is BEZ
Islands NNS-TL
Isn't BEZ*
Isolde NP
Israeli JJ-TL
Israelites NPS
It PPS
It's PPS+BEZ
Its PP$
Jack NP
Jack's NP$
Japan NP
Jones NP
Joseph NP
Jubal NP
Jubal's NP$
Kiss VB
L'Unita FW-AT+NN-TL
Laboratory NN-TL
Lady NN-TL
Langer NP
Larry NP
Last AP-TL
Let's VB+PPO
Line NN-TL
Lingo NN-TL
Listen VB
Look VB
Lord NN-TL
Love NN
Lucifer NP
M. NP
Macneff NP
Mahmoud NP
Major JJ-TL
Malay NP-TL
Man NN-TL
Manchester NP-TL
Many AP
March NP
Mars NP
Mars NP-TL
Martian JJ
Martians NPS
Mary NP
Master's NN$-TL
Maybe RB
Me PPO
Meanwhile RB
Mediterranean NP-TL
Mercer NP
Mercer's NP$
Mike NN
Mike NP
Milky JJ-TL
Minneapolis NP
Minor JJ-TL
Miracle NN-TL
Miss NP
Monitor NN-TL
Moreover RB
Most AP
Mount NN-TL
Mr. NP
Mrs. NP
Muslim JJ-TL
My PP$
My UH
National JJ-TL
Nations NNS-TL
Naturally RB
Neither DTX
Nernst NP
Never RB
Nevertheless RB
Nitrogen NN
No AT
No RB
Nobody PN
Nogol NP
Nor CC
North JJ-TL
Not *
Nothing PN
November NP
Now RB
Nozze FW-NNS-TL
Occasionally RB
Of IN
Oh UH
Okay UH
Oklahoma NP
Old JJ-TL
On IN
Once RB
One CD
Ones NNS-TL
Only RB
Or CC
Others NNS
Otherwise RB
Out IN
Over IN
Ozagen NP
Ozagenians NPS
Palermo NP
Paradise NN-TL
Part NN
People NNS
People NNS-TL
Perhaps RB
Philippine JJ-TL
Please VB
Plus IN
Popes NNS-TL
Pornsen NP
Positive JJ
Power-Seek NP
Presently RB
Preserve NN-TL
President NN-TL
Presley NP
R's NP-TL
R. NP
R.'s NPS
Radiation NN
Receiving VBG
Record NN-TL
Recovering VBG
Remember VB
Repeating VBG
Republic NN-TL
Republics NNS-TL
Rig-Veda NP
Ringing VBG
Robert NP
Romano FW-JJ-TL
Ryan NP
Sack NN-TL
Sahara NP-TL
Said VBD
Said VBN
Same AP
Sandalphon NP
School NN-TL
Schools NNS-TL
Science NN-TL
Scout NN-TL
Sea NN-TL
Second OD-TL
Secretary NN
Self's NN$
Senator NN-TL
Service NN-TL
Shadow NN-TL
Shayol NP
She PPS
Shell NN
Short NP
Short's NP$
Siberia NP
Sicily NP
Siddo NP
Sigmen NP
Sigmen NP-TL
Since CS
Singing VBG
Six CD
So RB
Socialist JJ-TL
Solar JJ-TL
Some DTI
Somehow RB
Sometimes RB
Sonic JJ
Soon RB
South JJ-TL
Southeast JJ-TL
Southern JJ
Soviet NP-TL
Stall NP
Standard JJ-TL
States NNS-TL
Statistical JJ
Stern NN-HL
Still RB
Stinky NP
Stormy NP
Strange JJ
Sturch NP
Sunday NR
Supper NN-TL
Suppose VB
Supreme JJ-TL
Sure RB
Suspicion NN
Swahili NP
Swiftly RB
System NN-TL
T. NP
Tabernacle NN-TL
Tahiti NP
Take VB
Talmud NP
Tanner NP
Taught VBN
Technician NN-TL
Tell VB
Thank VB
That CS
That DT
That'll WPS+MD
That's DT+BEZ
The AT
The AT-TL
Their PP$
Then RB
There EX
There's EX+BEZ
Therefore RB
These DTS
They PPSS
They'll PPSS+MD
Think VB
This DT
Thou PPSS
Though CS
Thought VBD
Through IN
Thus RB
Tibet NP
Tibetan JJ
Time NN
Time NN-TL
Times NNS-TL
To IN
Todd NP
Tristan NP
Uh-huh UH
Unfortunately RB
Union NN-TL
United VBN-TL
Universe NN-TL
Upon IN
Urielites NPS
Venusians NPS
Very QL
Visiting VBG
Vocal JJ
W. NP
War NN-TL
Warm JJ
Was BEDZ
Way NN-TL
We PPSS
Well UH
Western JJ
What WDT
What's WDT+BEZ
When WRB
Where WRB
Which WDT
Why WRB
Will MD
With IN
Without IN
Work NN
World NN-TL
Worlds NNS-TL
Would MD
Yancey-6 NP
Yancy-6 NP
Yarrow NP
Yes RB
Yet RB
You PPSS
You're PPSS+BER
You've PPSS+HV
Your PP$
`` ``
a AT
abdomen NN
abdominal JJ
able JJ
aboard IN
aboard RB
about IN
about RB
above IN
absentmindedly RB
absolutely QL
absolutes NNS
absorbed VBD
acceleration NN
acceptance NN
accepted VBD
accident NN
accompany VB
accordance NN
according RB
accuse VB
across IN
across RB
act VB
action NN
actions NNS
activated VBN
activating VBG
activity NN
actual JJ
actually RB
actuate VB
adaptation NN
added VBN
address NN
adequate JJ
adjectives NNS
adjust VB
adjustable JJ
adjusted VBN
admitted VBD
admitted VBN
advanced VBN
advantage NN
adventures NNS
adverbs NNS
after CS
after IN
again RB
against IN
age NN
agent NN
agitation NN
ago RB
agonies NNS
agree VB
agreed VBD
agreed VBN
agreement NN
agreements NNS
ahead RB
aimless JJ
air NN
airlock NN
alarm NN
alert VB
alien JJ
alien NN
aliens NNS
alive JJ
all ABN
all QL
almost QL
almost RB
alone RB
along IN
aloud RB
already RB
also RB
although CS
alto NN
aluminum NN
always RB
am BEM
ambidextrous JJ
ambulatory JJ
amended VBD
among IN
amount VB
amusement NN
an AT
ancient JJ
and CC
and CC-TL
anesthetically RB
angel NN
angelic JJ
angels NNS
angry JJ
animal NN
animals NNS
animate JJ
animation NN
annals NNS
anniversary NN
announced VBD
announced VBN
another DT
answer NN
answered VBD
answers NNS
anticipate VB
antiseptic NN
anxiety NN
any DTI
anybody PN
anyhow RB
anyone PN
anything PN
anyway RB
apartment NN
apologetically RB
apparatus NN
apparently RB
appearance NN
appeared VBD
applicable JJ
applied VBD
applied VBN
appreciated VBD
appreciation NN
appreciatively RB
approach NN
approached VBD
approaching VBG
approximated VBN
approximations NNS
are BER
aren't BER*
argued VBN
arise VB
arm NN
arms NNS
around IN
around RB
arranged VBD
arrival NN
arrive VB
arrived VBD
arrived VBN
art BER
art NN
arteries NNS
articulate JJ
artificially RB
as CS
as QL
ashamed JJ
ashes NNS
aside RB
ask VB
asked VBD
asked VBN
asking VBG
asleep RB
aspect NN
assigned VBN
assistant NN
associates NNS
associations NNS
assume VB
assumed VBD
assumptions NNS
asteroid NN
astronomical JJ
at IN
atmosphere NN
atom NN
atomic JJ
attached VBN
attack VB
attempted VBN
attention NN
attitude NN
attract VB
attraction NN
attractive JJ
audience NN
audio JJ
augmented VBN
authorities NNS
automatic JJ
automatically RB
available JJ
average NN
avocation NN
avoid VB
awake RB
away RB
awesome JJ
awoke VBD
babbled VBD
babes NNS
babies NNS
baby NN
back NN
back RB
bacteria NNS
bad JJ
ball NN
ban NN
banging NN
barefoot RB
bargain NN
bargaining NN
baritone NN
barometric JJ
barracks NN
barrier NN
barriers NNS
base NN
basic JJ
bass NN
batting VBG
bawled VBD
be BE
bear VB
beast NN
beasties NNS
beasts NNS
beautiful JJ
beauty NN
became VBD
because CS
become VB
become VBN
bed NN
been BEN
before CS
before IN
before RB
began VBD
begged VBD
beginnings NNS
behave VB
behaved VBD
behind IN
being BEG
being NN
beings NNS
believe VB
believed VBN
beloved JJ
below IN
belt NN
benefit NN
benign JJ
bent VBD
beside IN
best JJT
bet NN
better RBR
between IN
bewilderment NN
beyond IN
bide VB
big JJ
bigger JJR
birthed VBN
bishops NNS
bite NN
biting VBG
bizarre JJ
black JJ
black NN
blackness NN
blank JJ
blanket NN
blastdown NN
blaze VB
blazed VBD
bleeding NN
blinked VBD
bliss NN
blissful JJ
block NN
blow VB
blown VBN
blue JJ
bluffs NNS
blushed VBN
board NN
board VB
boards NNS
bodies NNS
bodily RB
body NN
bomb NN
book NN
boot NN
borders NNS
born VBN
both ABX
bother VB
bothered VBN
bound VBN
box NN
boy NN
brain NN
brains NNS
breathe VB
breathing NN
breathlessly RB
breeze NN
bridge VB
briefly RB
brilliantly RB
broken VBN
brother NN
brothers NNS
brought VBN
brush VB
bubble NN
bubbles NNS
bubbling VBG
buddies NNS
buddy NN
bugged VBD
build VB
building VBG
built VBD
bulk NN
bulwark NN
bunk NN
burned-out JJ
burning VBG
burnt-red JJ
business NN
busy JJ
but CC
but IN
by IN
by RB
by-passing JJ
cabin NN
calendars NNS
call NN
called VBD
called VBN
calm JJ
calm VB
calmed VBD
calmly RB
came VBD
camp NN
campaign NN
can MD
can't MD*
canceled VBD
candidate NN
cannot MD*
canvas NN
cap NN
capable JJ
capacity NN
captain NN
card NN
cards NNS
care NN
care VB
cared VBD
cares VBZ
carry VB
cartilage NN
case NN
case VB
cases NNS
cast NN
cast VBN
casual JJ
catch VB
categories NNS
caught VBD
cause NN
caused VBD
causing VBG
cavity NN
celebrated VBN
center NN
central JJ
centuries NNS
century NN
ceremony NN
certain JJ
ceteras FW-NNS
chain NN
chance NN
change NN
change VB
changed VBD
changed VBN
changes NNS
charm NN
charming JJ
chase NN-HL
check NN
check VB
chelas FW-NNS
chemical NN
cherish VB
cherished VBD
cherished VBN
chest NN
chicken NN
chief NN
child NN
child's NN$
child-face NN
children NNS
chills NNS
chipper JJ
choking VBG
choose VB
chortled VBD
chose VBD
chromatic JJ
chromatics NNS
church NN
citizen NN
citizens NNS
city's NN$
civilization NN
claim NN
class NN
classical JJ
classmates NNS
claws NNS
clear JJ
clear-headed JJ
cleared VBD
clearer JJR
clerk NN
climate NN
clinches NNS
clock NN
clocks NNS
close JJ
close RB
closed VBD
closed VBN
closer JJR
closer RBR
clothes NNS
clothing NN
cloud NN
clubbed VBN
cluster NN
clustered VBD
codes NNS
codified VBN
cold JJ
colder JJR
collecting VBG
college NN
color NN
coloratura NN
colossal JJ
combine NN
come VB
come VBN
comes VBZ
comet's-tail NN
comfort NN
comfortable JJ
comforting VBG
coming VBG
comment NN
commingled VBN
commissioned VBN
committee NN
committees NNS
commodities NNS
commonplace JJ
companionable JJ
company NN
compared VBD
complete JJ
completed VBN
compounded VBN
computation NN
compute VB
computer NN
concealed VBN
conceiving VBG
concentrate VB
concept NN
concerti NNS
conclave NN
concluded VBN
conclusive JJ
condition NN
conditioning NN
conditions NNS
confide VB
confinement NN
confirmation NN
confirmed VBD
congregation NN
conjunctions NNS
connected VBN
connection NN
connections NNS
considerable JJ
considerably RB
considerate JJ
considered VBN
considering IN
consisting VBG
constellations NNS
construction NN
contact NN
contained VBN
content JJ
content NN
continent NN
continued VBD
contract VB
contrary JJ
contrary-to-reality JJ
contrasts NNS
contributes VBZ
contrite JJ
control NN
controlled VBD
conversations NNS
conviction NN
convinced VBN
cook VB
cool JJ
copied VBN
copy NN
cords NNS
core NN
corner NN
corporate JJ
corpses NNS
correct JJ
correlating VBG
corrosive JJ
cosmic JJ
couched VBD
couches NNS
could MD
couldn't MD*
count VB
country NN
couple NN
course NN
courses NNS
cover VB
coverall NN
covered VBN
cow-man NN
cow-people NNS
crabbed JJ
cracking VBG
cradled VBN
crash NN
cratered VBN
craters NNS
crawled VBD
crazy JJ
creatures NNS
creche NN
creepy JJ
cremated VBN
crew NN
crime NN
crimson JJ
crippling VBG
critically RB
critters NNS
crooned VBD
crop NN
crops NNS
crowd NN
crowded VBN
crucial JJ
cruiser NN
cry NN
crystal NN
cure VB
cured VBN
curiosity NN
curious JJ
curl VB
currently RB
curve NN
cusp NN
custom NN
customs NNS
cut VB
cut VBN
cycles NNS
dabbed VBD
dabhumaksanigalu'ahai FW-VB
dainty JJ
damned VBN
dance NN
dark JJ
darkened VBN
darkness NN
darling JJ
darted VBD
date NN
day NN
days NNS
de FW-IN-TL
dead JJ
deal NN
dear JJ
dear NN
dear UH
death NN
decaying VBG
deceleration NN
decided VBD
deciding VBG
declaration NN
declared VBN
decorticated VBN
deduced VBD
deductive JJ
deep JJ
deeper JJR
defend VB
defenses NNS
definite JJ
deformities NNS
degree NN
deliberate JJ
deliberately RB
delicate JJ
delicate-beyond-description JJ
delighted VBN
demanded VBD
denunciations NNS
department NN
deposits NNS
derived VBN
descendants NNS
description NN
desert NN
desired VBN
despite IN
destination NN
destined VBN
details NNS
determine VB
determined VBN
develop VB
development NN
device NN
diagram NN
dials NNS
diapers NNS
diaphragmic JJ
diaphragms NNS
dice NNS
dictates NNS
did DOD
didn't DOD*
die VB
died VBD
died VBN
differed VBD
difference NN
different JJ
differently RB
difficult JJ
difficulties NNS
difficulty NN
dig VB
digesting VBG
diplomatic JJ
direct VB
directed VBN
direction NN
directions NNS
directives NNS
dirty JJ
disappearance NN
disappointed VBN
disarmament NN
disastrous JJ
discipline NN
discorporate JJ
discorporate VB
discorporated VBN
discourse NN
discovered VBD
discovered VBN
discovery NN
discs NNS
discussions NNS
disgrace NN
dismal JJ
dismissed VBD
dispell VB
disposal NN
disputed VBN
dissimilar JJ
dissolved VBN
distance NN
distances NNS
distinction NN
distinguished VBN
diverted VBN
divorce NN
do DO
do-good JJ
doctors NNS
does DOZ
doesn't DOZ*
doing VBG
dome NN
domes NNS
dominant JJ
don't DO*
done VBN
door NN
doorway NN
dormitory NN
dose NN
doses NNS
dot NN
doubt NN
doubted VBD
down RP
downstairs RB
dragged VBD
drawn VBN
dream NN
dreamed VBN
dreams NNS
dressed VBN
drive NN
drives NNS
dromozoa NNS
dromozootic JJ
drone NN
dropped VBD
drug NN
dry-eyed JJ
duck VB
dulcet JJ
dummies NNS
dummy JJ
during IN
dusty JJ
duty NN
dwarfs NNS
dwindle VB
each DT
earlier JJR
early JJ
easier JJR
easily RB
eastern JJ
easy JJ
easy RB
eat VB
eaten VBN
ecological JJ
edition NN
effect NN
eggs NNS
eight CD
eighty-four CD
either DTX
either RB
elaborate JJ
elaborately RB
elation NN
elbow NN
elders NNS
elections NNS
electronic JJ
elevation NN
eleven CD
eliminated VBN
eliminating VBG
elite NN
else RB
emerged VBD
emerged VBN
empty JJ
encephalographic JJ
encounter VB
encouraged VBN
end NN
ends NNS
endure VB
endured VBD
endured VBN
enemies NNS
enforced VBN
enforcing VBG
enjoyed VBD
enormous JJ
enough AP
enough QLP
entertain VB
enthusiasm NN
entire JJ
entirely RB
enunciation NN
ephemeral JJ
equal JJ
equally QL
equated VBD
equator NN
equipment NN
escape NN
especially RB
essential JJ
essential NN
essentially RB
established VBN
estimate NN
et FW-CC
ethereal JJ
euphoria NN
even QL
even RB
event NN
events NNS
eventually RB
ever QL
ever RB
everlasting JJ
every AT
everybody PN
everything PN
everywhere RB
evidence NN
exactly RB
examine VB
examined VBD
example NN
exceedingly RB
except IN
excessively RB
exchange VB
excised VBN
excited VBN
executed VBN
exercise VB
existed VBD
exists VBZ
expanding VBG
expectations NNS
expedition NN
expense NN
experience NN
experimental JJ
experimentation NN
expert NN
explain VB
explained VBD
explaining VBG
explanations NNS
exploration NN
exploring VBG
exposed VBN
exposure NN
expressing VBG
expression NN
extendibles NNS
extension NN
extensions NNS
extra JJ
extraterrestrial JJ
extremely RB
extricate VB
eye NN
eye-machine NN
eyebrows NNS
eyes NNS
face NN
faced VBD
faced VBN
facsiport NN
fact NN
faction NN
facts NNS
failed VBN
faintest JJT
faintly RB
fair JJ
faith NN
family NN
famous JJ
fancy NN
far JJ
fascinating JJ
fast JJ
fast RB
faster JJR
faster RBR
fat JJ
fate NN
father NN
fatigue NN
faulty JJ
fear VB
fed VBD
fed VBN
feel VB
feeling NN
feeling VBG
feels VBZ
feet NNS
felicitous JJ
fell VBD
fellow NN
fellowship NN
felt VBD
felt VBN
female NN
feminine JJ
fertile JJ
fever NN
few AP
field NN
field VB
fiery JJ
fifth OD
fifty CD
fight VB
figures NNS
filed VBD
film NN
final JJ
find NN
find VB
fine JJ
fine RB
finger NN
fingernails NNS
fingers NNS
finished VBN
fire NN
first OD
first RB
fish NN
fit VB
fitfully RB
fits VBZ
five CD
fixed VBN
flaky JJ
flash NN
fleeting VBG
flesh NN
flight NN
flights NNS
flipped VBD
floods NNS
floor NN
flowers NNS
fluid NN
flung VBN
focus NN
follow VB
followed VBD
followed VBN
following VBG
food NN
fool NN
foolish JJ
for CS
for IN
forbidden VBN
force NN
forced VBD
forced VBN
forego VB
foremost JJS
foreseen JJ
forever RB
forget VB
forgetting VBG
forgive VB
forgot VBD
fort NN
forty CD
forward RB
foster JJ
foul VB
found VBD
found VBN
four CD
fourteen CD
frauds NNS
free JJ
free VB
friend NN
friendlily RB
friendly JJ
friends NNS
frighteningly RB
frigid JJ
from IN
from IN-TL
front JJ
frontal JJ
frowning VBG
frozen VBN
full JJ
fun NN
function NN
funeral NN
further JJR
fuses NNS
fusion NN
future JJ
future NN
gadfly NN
galactic JJ
galvanic JJ
game NN
games NNS
gang VB
gapt NN
gases NNS
gasped VBD
gauge NN
gave VBD
gay JJ
gender NN
genders NNS
generations NNS
generator NN
gentleman NN
gentlemen NNS
gently RB
gesture NN
gestured VBD
get VB
getting VBG
geysers NNS
gigantic JJ
girl NN
girls NNS
give VB
given VBN
gives VBZ
glad JJ
gladly RB
glance NN
glass NN
glittering VBG
globe NN
glorious JJ
go VB
goes VBZ
going VBG
gone VBN
good JJ
goodness NN
got VBD
got VBN
gotten VBN
govern VB
government NN
grabbing VBG
graduated VBN
grammatical JJ
grass NN
grateful JJ
great JJ
greater JJR
green JJ
greeted VBD
grew VBD
grimace VB
grin NN
grinding VBG
grinned VBD
gripes NNS
gritty-eyed JJ
grok VB
grokked VBD
grokked VBN
grokking NN
grokking VBG
ground NN
ground VB
ground-level NN
ground-truck NN
grounds NNS
group NN
grow VB
growing VBG
growing-waiting NN
grown VBN
grudgingly RB
guardian NN
guided VBN
gurgle NN
guru NN
guys NNS
habit NN
had HVD
had HVN
hair NN
half ABN
half QL
half-man NN
half-transparent JJ
half-year NN
hall NN
halo NN
hand NN
hand-covered JJ
hand-woven JJ
handle VB
hands NNS
handwriting NN
happen VB
happened VBD
happened VBN
happens VBZ
happiness NN
happy JJ
hard JJ
harm NN
harvest VB
has HVZ
hatch NN
have HV
having HVG
he PPS
he'll PPS+MD
head NN
headed VBN
heading VBG
heads NNS
healthily RB
hear VB
heard VBD
heard VBN
heart NN
hearth NN
heat NN
heaved VBD
hefted VBD
hegemony NN
held VBD
held VBN
helium NN
hell NN
helmets NNS
help NN
help VB
helped VBD
helped VBN
helpful JJ
helping VBG
helpless JJ
helplessly RB
hemisphere NN
her PP$
her PPO
herd NN
herds NNS
here RB
herself PPL
hesitated VBD
hide VB
hideous JJ
hiding VBG
high JJ
highly QL
him PPO
himself PPL
hindered VBD
his PP$
historically RB
histories NNS
history NN
hit VBD
hoarsely RB
hobby NN
hold VB
holding VBG
holes NNS
home NR
homesick JJ
hope NN
hope VB
hopefully RB
hopes NNS
horizon NN
horrified VBN
hospitable JJ
hospital NN
hostile JJ
hot JJ
hotter JJR
hour NN
hours NNS
household NN
hove VBD
how WRB
however WRB
hug VB
huge JJ
hugged VBD
hull NN
hum NN
human NN
humans NNS
hummocks NNS
humor NN
hundred CD
hungry JJ
hurl VB
hurt NN
hurt VB
husband NN
hygiene NN
icy JJ
idea NN
identical JJ
if CS
ignored VBD
ill-starred JJ
illness NN
imagine VB
immediate JJ
immediately RB
immensely RB
implant NN
importance NN
important JJ
impossible JJ
impresser NN
impression NN
impressions NNS
impulse NN
in IN
in RP
inanimate JJ
incensed VBN
incident NN
inclined VBN
included VBN
incompletely RB
increase VB
increased VBD
incredibly RB
indeed QLP
independent JJ
indestructible JJ
index NN
indicate VB
indicated VBD
indicating VBG
indicted VBN
individual NN
individually RB
individuals NNS
industrial JJ
inevitability NN
inevitable JJ
infant NN
infection NN
infinite JJ
infinitive NN
inflected VBN
inflecting VBG
informed VBN
infuriation NN
ingested VBD
inhabited VBN
inhumanities NNS
initial JJ
inquire VB
insane JJ
insects NNS
inside IN
insisted VBD
insoluble JJ
insomnia NN
installed VBN
instance NN
instant JJ
instant's NN$
instantly RB
instead RB
instinctively RB
instructing VBG
instruction NN
instrumental JJ
instruments NNS
integrity NN
intelligence NN
intelligent JJ
intentional JJ
intentions NNS
intercept NN
intercept VB
interest NN
interjected VBD
interrupted VBN
interstellar JJ
intimacy NN
into IN
intra-stellar JJ
introduce VB
invade VB
invariably RB
investigating VBG
investigation NN
invitation NN
involved VBN
inwardness NN
irritating JJ
is BEZ
island NN
isn't BEZ*
issued VBD
it PPO
it PPS
it'll PPS+MD
it's PPS+BEZ
itching VBG
its PP$
itself PPL
jackass NN
jealousy NN
jewel NN
join VB
joke NN
journey's NN$
judge VB
judgments NNS
jump NN
jump VB
jumping NN
jumping VBG
junior JJ
junior NP
just RB
justice NN
keen JJ
keening NN
keeping VBG
kept VBD
kicked VBD
kicking VBG
killed VBD
killed VBN
kind NN
kindliness NN
kissed VBD
kissing VBG
knew VBD
knife NN
knives NNS
knock VB
knot NN
knotty JJ
know VB
knowing VBG
known VBN
ksu'u'peli'afo FW-VB
l'Osservatore FW-AT+NN-TL
ladder NN
ladies NNS
lady NN
lady's NN$
lamechian JJ
lamechians NPS
land NN
landing NN
landscape NN
language NN
languages NNS
lapel NN
lapsed VBD
large JJ
larger JJR
last AP
last VB
lasted VBN
late JJ
later RBR
laughed VBD
lavishly RB
law NN
laws NNS
laxness NN
lay VB
lay VBD
laying VBG
lead NN
lead VB
learn VB
learned VBD
learned VBN
learning VBG
least AP
least QL
leave VB
leaves VBZ
led VBD
left VBD
left VBN
legal JJ
legs NNS
less AP
less QL
lessons NNS
let NN
let VB
let's VB+PPO
lethal JJ
letter NN
letting VBG
library NN
lie VB
life NN
lift VB
lifted VBN
light JJ
light NN
light-year NN
lights NNS
lightweight JJ
lightyears NNS
like CS
like VB
liked VBD
likely JJ
limitations NNS
limited VBN
limits VBZ
line NN
lines NNS
linguist NN
linguists NNS
lips NNS
list NN
listened VBD
little AP
little JJ
little QL
live VB
lived VBD
living VBG
load NN
loaded VBD
loading VBG
local JJ
logical JJ
logically RB
logistics NN
lonely JJ
long JJ
long-distance NN
longer JJR
longer RBR
look NN
look VB
looked VBD
looking VBG
looks VBZ
loose JJ
loose-jowled JJ
lopsidedly RB
lost VBD
lost VBN
lot NN
lots NNS
lotus NN
louse VB
lousy JJ
love NN
loved VBD
lovelies NNS
lovely JJ
low JJ
luck NN
lug NN
lungs NNS
madam NN
made VBD
made VBN
magazine NN
magnification NN
magnifying VBG
mai'teipa FW-NN
maintained VBD
maintenance NN
major JJ
make VB
make-up NN
makes VBZ
making VBG
male NN
mammal NN
man NN
man's NN$
manage VB
manipulate VB
manipulated VBD
manipulation NN
mankind NN
manner NN
many AP
many-bodied JJ
mapping VBG
mark NN
marked VBN
marks NNS
marriage NN
married VBN
marry VB
masculine JJ
massive JJ
master NN
mastery NN
match VB
matches NNS
mate NN
mates NNS
matsyendra FW-NN
matter NN
matter VB
matters NNS
mature JJ
matured VBD
may MD
maybe RB
me PPO
mean VB
meaning NN
meaning VBG
meaningless JJ
means NNS
meant VBD
meantime NN
mechanical JJ
mechanisms NNS
meditation NN
meditations NNS
medium NN
megalopolises NNS
member NN
members NNS
memorize VB
memory NN
men NNS
mental JJ
mercifully RB
merely RB
merge VB
merged VBD
message NN
metal NN
metallic JJ
method NN
methods NNS
mezzo NN
microphone NN
microphones NNS
microscopic JJ
midnight NN
might MD
miles NNS
militant JJ
military NN
millennia NNS
millions NNS
mind NN
mind VB
minded VBN
minds NNS
mine PP$$
mineral NN
ministrations NNS
minor JJ
minute JJ
minutes NNS
miracle NN
mis-reading VBG
misjudged VBD
miss VB
missing VBG
mission NN
missions NNS
mistaken VBN
misuse VB
mobile JJ
mock JJ
model NN
modern JJ
moment NN
momentary JJ
monitor NN
months NNS
moral JJ
more AP
more QL
more RBR
morning NN
morrow NN
morsel NN
mortal JJ
moss NN
most AP
most QL
most RBT
mostly RB
motives NNS
mouth NN
mouths NNS
move NN
moved VBD
movement NN
much AP
much QL
much RB
mucking VBG
murderer NN
muscles NNS
music NN
must MD
mutual JJ
my PP$
my UH
mysterious JJ
naked JJ
name NN
names NNS
natal JJ
nation NN
nations NNS
native JJ
natives NNS
natural JJ
nature NN
natures NNS
navel NN
navigation NN
near IN
nearest JJT
nearly RB
nebula NN
necessary JJ
necessity NN
necklaces NNS
need NN
need VB
needed VBD
needed VBN
needle NN
needles NNS
needs NNS
negative JJ
neighbors NNS
neither CC
neither DTX
neon-lit JJ
nerves NNS
nest NN
nestling NN
nests NNS
neural JJ
neuter JJ
never RB
nevertheless RB
new JJ
newly RB
news NN
next AP
nice JJ
nicest JJT
night NN
night-sight NN
nine CD
nineteenth OD
nirvana NN
no AT
no RB
no-back NN
nobody PN
nondefeatist NN
none PN
noon NN
nor CC
