! .
& CC-TL
Burke NP
Burkette NP
Burns NP
Bustard NP
But CC
Buzz NP
Buzz's NP$
By IN
Byron NP
C'mon UH
C'un NN-TL
C. NP-TL
Cady NP
Cal-Neva NP
Calf NN-TL
California NP
Calloused VBN
Camels NNS
Can MD
Can't MD*
Canada NP
Cancer NP-TL
Caneli NP
Canoe NN-TL
Canute NP
Cap NP
Cape NN-TL
Capricorn NP-TL
Captain NN
Captain NN-TL
Captain's NN$-TL
Carefully RB
Carla NP
Carla's NP$
Carnegie-Illinois NP
Carraway NP
Carrie NP
Carrozza FW-NN
Cars NNS
Catholic JJ
Cathy NP
Cathy's NP$
Caucasian JJ
Ceecee NP
Cezanne's NP$
Chairman NN-TL
Champs FW-NNS-TL
Chandler NP
Changing VBG
Chapel NN-TL
Charles NP
Charles' NP$
Charlie NP
Charlotte NP
Charlotte's NP$
Chief NN-TL
Chieti NP
Children NNS
Chinaman NP
Chris NP
Christ NP
Christ UH
Christ's NP$
Christian JJ
Christian NP
Christians' NPS$-TL
Christmas NP
Christmastime NP
Chrysler NP
Ciao FW-UH
City NN-TL
Claire NP
Class NN-TL
Clay NN-TL
Clearly RB
Cleveland NP
Clifton NP
Clouds NNS-TL
Club NN-TL
Coast NN-TL
Cold NN
Collector NN-TL
College NN-TL
Colosseum NP
Colts NNS-TL
Come VB
Communist NN-TL
Company NN-TL
Concetta NP
Concetta's NP$
Confronted VBN
Confucius NP
Conneaut NP
Constance NP
Constantine NP-TL
Contact NN
Content JJ
Continent NN-TL
Convention NN
Cooper NP
Cooper's NP$
Coopers NPS
Corps NN-TL
Correspondence NN
Cotter's NP$
Could MD
County NN-TL
Cousin NN-TL
Cowbird NN
Craddock NP
Crazy JJ-TL
Cromwell NP
Cromwell's NP$
Cross NN-TL
Cursed VBN
D. NP-TL
Dad NN-TL
Daddy's NN$-TL
Daley NP
Damn VB
Dancing VBG-TL
Danger NN
Dante NP
Darling NN
Dartmouth NP
Dave NP
Dave's NP$
David NP
David's NP$
Day NN
Dazed VBN
Dead NN-TL
Dear JJ
Deegan NP
Deegan's NP$
Deer NN-TL
Delia NP
Deslonde NP
Devil NN-TL
Devout JJ
DiMaggio NP
Dick NP
Dickens NP
Did DOD
Didn't DOD*
Diego NP
Dillinger NP
Dingy-looking JJ
Dinsmore NP
Do DO
Doaty NP
Doaty's NP$
Doc NP
Doctor NN-TL
Does DOZ
Dogs NNS-TL
Dolan NP
Dolly NP
Dolores NP
Don't DO*
Donald NP
Donner NP
Dookiyoon NP
Doolittle NP
Doolittle's NP$
Dorothy NP
Dr. NN-TL
Drexel NP-TL
Drive VB
Drop VB
Dunne NP
Durer NP
During IN
E. NP
Each DT
Early JJ-TL
East JJ-TL
East NR-TL
Easter NP
Eating VBG
Eats NNS-TL
Eddie NP
Eddie's NP$
Eddyman NP
Eden NP
Edmonia NP
Edna NP
Edward NP-TL
Edythe NP
Edythe's NP$
Eh UH
Either CC
Elec NP
Elec's NP$
Elemental JJ
Ellen NP
Elliott NP
Elsewhere NN
Elsie NP
Elysees NP
Emma NP
Emma's NP$
Encouraged VBN
Engisch NP
England NP
English JJ
English NP
Englishman NP
Eph NP
Eskimo NP
Eskimos NPS
Especially RB
Esperanza NP-TL
Esquire NP
Ethiopians NPS
Eugenia NP
Europe NP
European JJ
Evadna NP
Evans NP
Even RB
Evening NN-TL
Ever RB
Every AT
Everybody PN
Everyone PN
Everything PN
Except IN
Exchange NN-TL
Express NN-TL
Extending VBG
Eye NN-TL
Factory-to-You NN-TL
Fair's NN$-TL
Fairbrothers NPS
Fairview NP
Faneuil NP-TL
Farina NP
Farm NN
Farnese NP-TL
Farneses NPS
Father NN
Father NN-TL
Fatso NP
Fauntleroy NP-TL
Fearless JJ
Fearless JJ-TL
February NP
Feeling VBG
Ferraro NP
Ferraros NPS
Fifteen CD
Fifth OD-TL
Fights NNS
Filippo NP
Finally RB
Financing VBG
Fine JJ
First OD
Five CD
Five CD-TL
Fleet NN-TL
Fleet's NN$-TL
Flotilla NP
Folly NN-TL
For CS
For IN
Force NN-TL
Forces NNS-TL
Forebearing VBG
Forget VB
Forgive VB
Forked VBN-TL
Fortman NP
Four CD
Four CD-TL
Fox NN-TL
Frail JJ
France NP
Francie NP
Francie's NP$
Francisco NP
Frank NP
Frankie NP
Freddy NP
Freddy's NP$
Freed VBN
French JJ
French NP
Friday NR
Friday NR-TL
From IN
Fudo NP
Fudo's NP$
Fudomae NP
Fulbright NP
Funk NP
Funk NP-TL
Furnaces NNS-TL
Furthermore RB
Futotsu NP
Galt NP-TL
Galway NP
Gansevoort NP
Gardens NNS-TL
Gee UH
General NN-TL
Geology NN
George NP
George's NP$
Georgian JJ
German JJ
Germany NP
Gerry NP
Gertrude NP
Get VB
Getting VBG
Gibson NP
Girls NNS
Gisele NP
Give VB
Glad JJ
Gladdy NP
Gladdy's NP$
Go VB
God NP
God UH
God's NP$
Going VBG
Golden JJ-TL
Golf NN-TL
Gompachi NP
Gone VBN
Good JJ
Goolick UH
Goose NN-TL
Gord NP-TL
Gordon NP
Gosh UH
Got VBD
Grab VB
Grand JJ-TL
Grandma NN-TL
Grandma's NN$-TL
Gratt NP
Great JJ-TL
Greek JJ
Green NP
Greg NP
Greg's NP$
Gregg NP
Gresham NP
Grinned VBN
Groggins NP
Growing VBG
Guess VB
Gunny NP
Guns NNS-TL
Had HVD
Hadn't HVD*
Hajime NP
Half ABN
Half QL
Halfway RB
Hall NN-TL
Ham NP
Hamilton NP
Hamrick NP
Hamrick's NP$
Handsome JJ
Handsomest JJT
Hanford NP
Hanford NP-TL
Hanging VBG
Happened VBN
Hardly RB
Harro UH
Harvie NP
Have HV
Hawaiian JJ
Haydon NP
He PPS
He'd PPS+HVD
He'd PPS+MD
He'll PPS+MD
He's PPS+BEZ
He's PPS+HVZ
Heads NNS
Health NN
Hear VB
Heaven NN
Heaven NN-TL
Heavenly JJ-TL
Heavy JJ
Hebrew NP
Height NN
Heiser NP
Hell NN-TL
Hell UH
Hello UH
Henh UH
Henrietta NP
Her PP$
Herberet NP
Herberet's NP$
Here RB
Here's RB+BEZ
Herman NP
Hershey's NP$
Hetty NP
Hetty's NP$
Hey UH
Hi UH
High JJ-TL
Highway NN-TL
Him PPO
Hindu NP
His PP$
His PP$-TL
Hit VB
Hodges NP
Holy JJ
Holy JJ-TL
Home NN-TL
Homes NNS
Honest JJ
Hong NP
Honshu NP
Hoot NP
Hope NN-TL
Hope NP
Hope VB
Hope's NP$
Horne's NP$
Horse NN-TL
Hostile JJ
Hotel NN-TL
Houdini NP
House NN-TL
How WRB
How's WRB+BEZ
Howdy UH
Hudson NP-TL
Human NN
Hun NP
Hurrays NP
Hurry VB
I PPSS
I'd PPSS+HVD
I'd PPSS+MD
I'll PPSS+MD
I'm PPSS+BEM
I've PPSS+HV
IQ NP-TL
Ida NP
Idiot's NN$
If CS
Iijima NP
Imagine VB
Implements NNS
Impossible JJ
In IN
In IN-TL
Incidentally RB
Indeed RB
Indian JJ
Indians NPS-TL
Infinite JJ
Initially RB
Inside RB
Instantaneously RB
Instead RB
Internal JJ-TL
Into IN
Ireland NP
Is BEZ
Ishii NP
Island NN-TL
Isn't BEZ*
Israel NP
It PPS
It'll PPS+MD
It's PPS+BEZ
Italian JJ
Italians NPS
Italy NP
Italy NP-TL
Its PP$
Ivy NN-TL
J'ai FW-PPSS+HV
Jack NP
Jackson NP
Jaguar NP
Janice NP
January NP
Japan NP
Japanese JJ
Japanese NP
Japanese NPS
Jen NP
Jennifer NP
Jenny NP
Jenny's NP$
Jerez NP
Jeroboam NP
Jersey NP-TL
Jesus NP
Jewish JJ
Jim NP
Jim's NP$
Joan NP
Joan's NP$
Jobs NNS
Jockey NN-TL
Joe NP
John NP
John NP-TL
John'll NP+MD
John's NP$
John's NP$-TL
John-and-Linda NPS
Johnnie NP
Johnnie's NP$
Jonathan NP
Jour FW-NN-TL
Joyce NP
Julia NP
Julie NP
July NP
Junction NN-TL
June NP
Just RB
Kansas-Nebraska NP-TL
Kanto NP
Karamazov NP-TL
Kare NN-TL
Keep VB
Ken NP
Kentucky NP
Kezziah NP
King NN-TL
Kirby NP
Kirby's NP$
Kissin' NN-TL
Kiz NP
Kizzie NP
Kleenex NP
Kobayashi NP
Kohi NP
Komurasaki NP
Kong NP
Kool-Aid NP
Korean JJ-TL
Krishnaists NPS
Laban NP
Labans NPS
Lake NN-TL
Lakes NNS-TL
Lancaster NP-TL
Lao-tse NP
Larkspur NN-TL
Last AP
Late JJ
Latin JJ
Latin NP
Laura NP
Le NP
League NN-TL
Leaning VBG
Leave VB
Leaving VBG
Lee NP
Left VBD
Let VB
Let's VB+PPO
Lie VB
Life NN-TL
Like CS
Liliputian JJ-TL
Lilliputian JJ
Limited VBN
Lincoln NP
Linda NP
Linda's NP$
Listen VB
Listening VBG
Little AP
Little JJ
Little JJ-TL
London NP
Long JJ-TL
Longue NP
Look VB
Lord NN-TL
Lots NNS
Louis NP
Louvre NP
Love NN
Love VB
Lovejoy NP
Lovers NNS-TL
Lucille NP
Lucille's NP+BEZ
Lucy NP
Lying VBG
M-m-m UH
M. NP-TL
Ma'am NN-TL
MacIsaacs NP-TL
Madame NP
Mae NP
Maggie NP
Maggie's NP$
Magpie NP-TL
Major NP
Make VB
Malta NP
Mama NN-TL
Mamma NN-TL
Man NN
Man NN-TL
Man's NN$-TL
Mandate NN-TL
Maneret NP-TL
Manhattan NP
Manhattan NP-TL
Mantegna NP
Many AP
Mare NN-TL
Mare's NN$-TL
Maria NP
Mark NP
Martian JJ
Martin NP
Martini NP
Marvelous JJ
Mass NN-TL
Mathias NP
Mathias' NP$
Mattie NP
Mauve-colored JJ
Maxim's NP$
Maybe RB
Mays NP
McCafferty NP
McKee NP
McKenzie NP
McKinley NP
Me PPO
Me'a NP
Meanwhile RB
Medicine NN-TL
Mediterranean NP
Memphis NP
Mencius NP
Mercedes NP
Messiah NP
Methodist JJ
Methuselah NP
Metro NP
Mi FW-PPO
Michelson NP
Middle JJ-TL
Midshipman NN-TL
Mike NP
Mike's NP$
Mile NN-TL
Milk NN
Millie NP
Mind VB
Miro NP
Miss NP
Missiles NNS
Mist NN-TL
Mister NP
Mister NP-TL
Miyagi NP
Miyagi NP-TL
Mmm UH
Mobile NN-TL
Modern JJ-TL
Modigliani NP
Momoyama NP
Monday NR
Monmouth NP
Monmouth's NP$
Monsieur NP
Mont NP
Montgomery NP
Montmartre NP
Moorish JJ
More AP
More RBR
Moreover RB
Moses NP-TL
Most AP
Mostly RB
Mother NN-TL
Mother's NN$-TL
Motors NNS-TL
Mound NN-TL
Mountains NNS-TL
Mousie NP
Move VB
Mr. NP
Mrs. NP
Mt. NN-TL
Much RB
Murkland NP
Mushr NP
Music NN
Must MD
My PP$
Myra NP
Myra's NP$
Myra's NP+BEZ
Nadine NP
Nadine's NP$
Name VB
Named VBN
Nassau NP
Naturally RB
Naval JJ
Naval JJ-TL
Navy NN-TL
Navy's NN$-TL
Near IN
Necklace NN-TL
Need VB
Neither CC
Nerves NNS
Never RB
New JJ-TL
Next AP
Next IN
Nice JJ
Nick's NP$
Night NN
Night NN-TL
Niobe NP
No AT
No RB
Nobody PN
Nodding VBG
Non FW-RB
Nor CC
North JJ-TL
Northwest NR-TL
Not *
Nothing PN
November NP
Now RB
Nuit FW-NN-TL
Number NN-TL
Nurse NN-TL
Oakmont NP
Obviously RB
Of IN
Officers' NNS$-TL
Often RB
Oh UH
Okay UH
Old JJ
Old JJ-TL
Oliver NP
On IN
Once CS
Once RB
One CD
One PN
Only RB
Or CC
Orient NP
Orly NP
Oscar NP
Osric NP
Other AP
Others NNS
Our PP$
Out IN
Out RB
Out RB-TL
Outside IN
Outside RB
Owen NP
Oyajima NP
Ozon NP
P.GA NP
Pacific JJ-TL
Pacific NP
Pacific NP-TL
Pack VB
Pagan NN-TL
Painting VBG
Panther NN-TL
Papa NP
Papanicolaou NP
Parioli NP
Paris NP
Parker NP
Part NN
Partlow NP
Partlow NP-TL
Partlow's NP$
Partly RB
Patrol NN-TL
Paul NP
Pausing VBG
Pendleton NP
Pendleton's NP$
Pensacola NP
Peony NP
People NNS
Perhaps RB
Perry NP
Personally RB
Pete NP
Pete's NP$
Peter NP
Peter's NP$-TL
Peters NP
Petty JJ-TL
Phil NP
Phil's NP$
Philadelphia NP
Philip NP
Piazza FW-NN-TL
Picasso NP
Pictures NNS
Pietro NP
Pietro's NP+BEZ
Pile NN-TL
Pils NN-TL
Pink JJ
Pittsburgh NP
Pittsburghers NPS
Plastic NN-TL
Pleasant NP
Please UH
Plenty NN
Poe NP
Poldowski NP
Polish JJ
Pollock NP
Pompeii NP
Pompeii's NP$
Poor JJ
Poor JJ-TL
Pope NN-TL
Portugal NP
Prefecture NN-TL
Presently RB
President NN-TL
Press NN-TL
Pretty QL
Prisoners NNS
Probably RB
Products NNS-TL
Protestant NP
Prussian JJ
Pugh UH
Puny JJ
Pursuing VBG
Put VB
Puttana FW-NN
Puzzled VBN
Pyhrric JJ
Queen NN-TL
Quietly RB
Quint NP
Quint's NP$
Quintus FW-OD-NC
Quintus FW-OD-TL
Quintus NP-TL
Quinzaine NP
Quinzaine NP-TL
Quit VB
Quite QL
Rachel NP
Racin' VBG-TL
Rakestraw NP
Ran VBD
Rapping VBG
Rawlings NP
Raymond NP
Reaching VBG
Ready JJ
Real QL
Really RB
Regretfully RB
Relatives NNS
Remember VB
Remembering VBG
Remy NP
Renaissance NP
Reno NP
Republic NN-TL
Rest NN-TL
Rests VBZ
Returning VBG
Reuben NP
Reuveni NP
Revenue NN-TL
Rhine-Main NP
Rhode NP-TL
Rhyme VB
Ricco NP
Rich NP
Richard NP
Richard's NP$
Richert NP
River NN-TL
Riverside NP
Riverside NP-TL
Riverside's NP$
Road NN-TL
Robards NP
Robards' NP$
Robbie NP
Roberts NP
Rogers NP
Roman JJ
Rome NP
Romeo NP
Romeo's NP$
Ronald NP
Room NN-TL
Rosa NP
Rose NP
Rosie NP
Rossi NP
Rossoff NP
Round JJ-TL
Route NN-TL
Roy NP
Roy's NP$
Royal NP
Rufus NP
Rummaging VBG
Run-down JJ
Ryusenji NP
S. NP-TL
Sabella NP
Sabras NPS
Said VBD
Sally NP
Salter NP
Salter's NP$
Sam NP
Sam's NP$
Same AP
Sameness NN
Samuel NP
San NP
Santa NP
Sarpsis NP
Sashimi NN
Saturday NR
Saturdays NRS
Say VB
Schmalma NP
School NN-TL
Schuylkill NP
Scotch NP
Scrooge-like JJ
Seaman NN-TL
Seashore NN
See VB
Seeing VBG
Seems VBZ
Selma NP
September NP
Seven CD-TL
Seventh OD-TL
Several AP
Sewickley NP
Shabbat NP
Shades NNS-TL
Shafer NP
Shafer's NP$
Shall MD
Share VB
Shawnee NP
She PPS
She'arim NP
She'd PPS+HVD
She'd PPS+MD
She'll PPS+MD
She's PPS+BEZ
She's PPS+HVZ
Ships NNS
Shirley NP
Shivering VBG
Shoals NNS
Shoals NNS-TL
Shocked VBN
Shortly RB
Should MD
Showers NP
Sierras NPS
Signor NP
Signora FW-NN
Signora NP
Signore NP
Simply RB
Since CS
Sir NP-TL
Sis NP
Sistine JJ-TL
Sit VB
Sitting VBG
Six CD
Sixties NNS-TL
Slowly RB
Small NP
Smith NP-TL
Smug JJ
Snakes NNS
So CS
So QL
So RB
Soba FW-NN
Some DTI
Somebody PN
Someday RB
Somehow RB
Someone PN
Someone's PN+BEZ
Somers NP-TL
Something PN
Sometime RB
Sometimes RB
Son NN
Sonny NP
Sooner RBR
Soothing VBG
Sorry JJ-NC
Sounds NNS
South JJ-TL
South NR-TL
Southern JJ-TL
Spa NN-TL
Spagna FW-NP-TL
Spain NP
Spanish JJ
Spanish JJ-TL
Sparky NP
Speaking VBG
Speedy JJ-TL
Spencer NP
Spencer's NP$
Spike-haired JJ
Spring NN-TL
Springfield NP
Springfield's NP+BEZ
Squint NP
Sssshoo UH
St. NN-TL
St. NP
Stake VB
Stand VB
Standing VBG
Starkey NP
State NN-TL
States NNS-TL
Stendhal NP
Stephen NP
Steps NNS-TL
Stern-faced JJ
Still RB
Stimulating JJ
Stock NN
Stop VB
Straightened VBN
Strange JJ
Street NN-TL
Strength NN
Strippers NNS
Strong JJ
Stuart NP
Stuart-family JJ
Stubblefield NP
Stubblefields NPS
Stuck-up JJ-TL
Subdued VBN
Subic NP
Such ABL
Such JJ
Suddenly RB
Sue NP
Summer's NN+HVZ
Sunday NR
Sundays NRS
Supply NN-TL
Suppose VB
Sure RB
Surely RB
Surprised VBN
Surviving VBG-TL
Susan NP
Susan's NP$
Sushi FW-NN
Suzanne NP
Suzuki NP
Swallow NN-TL
Swan NN-TL
Sweat NN
Sweating VBG
Swift NP
Swift NP-TL
Swinburne NP
Swiss JJ
Switzerland NP
Sylphide NP
Sympathy NN
TV NP-TL
Table NN-TL
Tahoe NP
Tahoe NP-TL
Take VB
Taking VBG
Talk VB
Tanin FW-NNS
Tax NN
Tea NN
Tell VB
Telling VBG
Ten CD
Tennessee NP-TL
Testament NN-TL
Thank VB
Thankful JJ
Thanks NNS
That CS
That DT
That WPS
That'll DT+MD
That's DT+BEZ
Thaxter NP
Thaxters NPS
The AT
The AT-TL
Their PP$
Them's DTS+BEZ
Then JJ
Then RB
There EX
There RB
There's EX+BEZ
Theresa NP
These DTS
They PPSS
They'd PPSS+HVD
They'll PPSS+MD
They're PPSS+BER
Things NNS
Think VB
Third OD
This DT
Thom NP
Thom's NP$
Thoreau's NP$
Those DTS
Though CS
Thought VBD
Three CD
Three CD-TL
Three-day JJ
Thrifty JJ
Through IN
Thursday NR
Ticonderoga NP
Ticonderoga NP-TL
Tillie NP
Tillie's NP$
Tillotson NP
Time NN
Titus NP
To IN
To TO
Today NR
Together RB
Tokyo NP
Tolley NP
Tolley's NP$
Tom NP
Tommy NP
Tommy's NP$
Tomorrow NR
Tony NP
Too QL
Toodle NP
Toonker NP
Tooth-hurty NN
Torah NP
Torino NP
Tough JJ
Tour FW-NN-TL
Toward IN
Trastevere NP
Tredding NP
Triomphe FW-NN-TL
Tripoli NP
Tropic NN-TL
Trouble NN
Truckee NP-TL
TuHulHulZote NP
Tuborg NP
Tuesday NR
Turning VBG
Tuxapoka NP
Twenty-two CD
Twins NNS-TL
Two CD
Ugh UH
Uh UH
Uh-huh UH
Uhhu UH
Um UH
Umm UH
Uncle NN-TL
Uncle NP
Under IN
Unfortunately RB
Unimpressed JJ
Unit NN-TL
United VBN-TL
Unlike IN
Unusual JJ
Up RP
Upstairs RB
Use VB
V-shaped JJ
V-shaped NP-TL
Valentine NP
Valery NP
Velasquez NP
Venetian JJ
Veneto NP-TL
Very QL
Via FW-NN-TL
Via NP
Via's NP$
Victoria NP
Victoria's NP$
Virginia NP-TL
Virus NN
Vivian NP
Vivian's NP$
Viyella NP
Vue NP
Wait VB
Waiting VBG
Wales NP
Walitzee NP
Wally NP
Wally's NP$
Wally's NP+BEZ
Wally's NP+HVZ
Walt NP
Walter NP
Walter's NP$
Wants NNS
War NN-TL
Warren NP
Was BEDZ
Washington NP
Washoe NP-TL
Wasn't BEDZ*
Watch VB
Watching VBG
Way NN-TL
Wayne NP
We PPSS
We'd PPSS+HVD
We'd PPSS+MD
We'll PPSS+MD
We're PPSS+BER
We've PPSS+HV
Weakness NN
Webber NP
Websterville NP
Websterville NP-TL
Wednesday NR
Weight NN
Well RB
Well UH
Wendell NP
West JJ-TL
West NR-TL
Western JJ-TL
Westfield NP
What WDT
What WPS
What's WDT+BEZ
Whatever WDT
When WRB
Where WRB
Whether CS
Which WDT
While CS
Whipsnade NP
Whitey NP
Whittaker NP
Who WPS
Who's WPS+BEZ
Why WRB
Wild JJ
Wilderness NN-TL
Will MD
William NP
William's NP$
Williams NP
Willie NP
Willis NP
Willis' NP$
Willows NNS-TL
Wilson NP
Wisconsin NP
With IN
Without IN
Witter NP
Wolf NN-TL
Woman's NN$-TL
Wondering VBG
Woods NNS-TL
Work NN
Worry NN
Worst JJT
Would MD
Wouldn't MD*
Wow UH
Wrangler NN-TL
Wrong JJ
Y'r PP$
Y're PPSS+BER
Yale NP
Yeah RB
Years NNS
Yellow JJ-TL
Yes RB
Yet RB
Yiddish JJ
Yiddish NP
Yokosuka NP
York NP-TL
Yorker NP-TL
You PPSS
You'd PPSS+MD
You'll PPSS+MD
You're PPSS+BER
You've PPSS+HV
Young JJ-TL
Your PP$
Youth NN
Yuki NP
Zen NP
Zend-Avesta NP
Zenith NN-TL
Zion NP
`` ``
a AT
aback RB
abandoning VBG
ability NN
able JJ
aboard IN
aboard RB
about IN
about RB
above IN
above RB
abreast RB
abrupt JJ
abruptly RB
absent JJ
absent VB
absent-minded JJ
absolute JJ
absolutely QL
absolutely RB
absolution NN
absorb VB
absorbed VBD
absorbed VBN
abstract JJ
absurd JJ
absurdity NN
absurdly RB
abundance NN
accept VB
acceptance NN
accepted VBD
accepted VBN
accepting VBG
accident NN
accompanied VBD
accompaniment NN
accompanying VBG
accomplished VBN
accordance NN
according IN
account NN
account VB
accounts NNS
accurate JJ
accuse VB
accused VBN
accusing VBG
accustomed VBN
ache VB
achieved VBN
acknowledge VB
acknowledgments NNS
acquainted VBN
acquired VBD
acres NNS
across IN
across RB
act NN
act VB
acting VBG
action NN
actions NNS
active JJ
activities NNS
activity NN
actresses NNS
actually RB
acute JJ
adamant JJ
added VBD
added VBN
adding VBG
addition NN
additional JJ
address NN
addressed VBD
addressed VBN
adhesive JJ
administration NN
admiration NN
admired VBD
admired VBN
admirer NN
admiring VBG
admiringly RB
admit VB
admitted VBD
admitted VBN
adopted VBN
ads NNS
adult JJ
adults NNS
advancement NN
advantage NN
adventures NNS
adventurous JJ
advertising NN
advertising VBG
advice NN
advised VBN
advocating VBG
affair NN
affairs NNS
affect VB
affected VBN
affection NN
affectionate JJ
affects VBZ
afford VB
afraid JJ
aft RB
after CS
after IN
after RB
after-duty JJ
afternoon NN
afternoon's NN$
afterward RB
afterwards RB
again RB
against IN
against RB
age FW-NN
age NN
aged VBN
agencies NNS
agency NN
ages NNS
aggressive JJ
aging VBG
ago RB
agony NN
agree VB
agreed VBD
agreed VBN
agreement NN
agricultural JJ
ahead RB
aid VB
aide NN
aiding VBG
ailment NN
aimless JJ
ain't BER*
ain't BEZ*
ain't HVZ*
air NN
aircraft NN
airline NN
airplane NN
airport NN
airs NNS
airy JJ
ajar RB
alarm NN
alarm VB
alas UH
alcohol NN
alcoholic JJ
alcoholics NNS
alcoholism NN
ale NN
aleck NN
alert JJ
alibis NNS
alien JJ
alike JJ
alimony NN
alive JJ
all ABN
all QL
all-American-boy JJ
all-lesbian JJ
allergic JJ
alley NN
alleyways NNS
allied VBN
alligator NN
allow VB
allowed VBN
alloy NN
alma JJ
almost QL
almost RB
alone JJ
alone RB
aloneness NN
along IN
along RB
alongside RB
aloud RB
already RB
also RB
altered VBD
altered VBN
alternative NN
although CS
altogether RB
aluminum NN
always RB
am BEM
amalgamation NN
amateur NN
amazed VBD
amazed VBN
amazement NN
amber JJ
ambition NN
ambitious JJ
among IN
amount VB
amounts NNS
amulets NNS
amused VBD
amusement NN
amusing JJ
an AT
an' CC
analogies NNS
analyze VB
analyzing VBG
anarchy NN
anatomy NN
ancestors NNS
ancient JJ
ancient NN
and CC
and CC-TL
anecdote NN
anesthetic NN
angel NN
angels NNS
anger NN
angry JJ
animal NN
animated VBN
animosity NN
ankle NN
ankles NNS
announced VBD
announced VBN
announcement NN
announcing VBG
annoy VB
annoyance NN
annoyed VBN
annual JJ
another DT
answer NN
answer VB
answered VBD
answers VBZ
anticipated VBD
antics NNS
antisocial JJ
anxieties NNS
anxiety NN
anxious JJ
anxiously RB
any DTI
anybody PN
anyhow RB
anyone PN
anyplace RB
anything PN
anyway RB
anywhere RB
apartment NN
apologized VBD
appalled VBN
appalling JJ
apparency NN
apparent JJ
apparently RB
appeal NN
appeal VB
appealing JJ
appear VB
appearance NN
appeared VBD
appeased VBN
appeasement NN
appliance NN
appliances NNS
applicants NNS
application NN
applied VBD
applied VBN
applying VBG
appointed VBN
appointment NN
appointments NNS
appraisal NN
appreciate VB
appreciated VBD
apprentices NNS
apprenticeship NN
approach NN
approach VB
approached VBD
approaching VBG
approval NN
approvingly RB
apron NN
aqua-lung NN
aqueducts NNS
arc NN
arch NN
arched VBD
arched VBN
are BER
area NN
aren't BER*
argue VB
argued VBD
arguing VBG
arguments NNS
arid JJ
arm NN
armload NN
armor NN
arms NNS
army NN
arose VBD
around IN
around RB
aroused VBN
arranged VBD
arranged VBN
arrangement NN
arrangements NNS
arranging VBG
