Thirty-three CD-HL
and CC
turn VB
a AT
round JJ
brown JJ
ear NN
to IN
him PPO
. .
Scotty NP
regarded VBD
the AT
ear NN
and CC
the AT
grizzled JJ
hair NN
around IN
it PPO
with IN
a AT
moment NN
of IN
interest NN
. .
He PPS
said VBD
more QL
loudly RB
, ,
`` ``
I'm PPSS+BEM
full JJ
, ,
old JJ
Pop NP
'' ''
. .
He PPS
had HVD
eaten VBN
almost RB
nothing PN
on IN
the AT
crested JJ
, ,
three-sectioned JJ
plate NN
and CC
had HVD
drunk JJ
about RB
half ABN
the AT
milk NN
in IN
its PP$
paper NN
container NN
. .
`` ``
He's PPS+BEZ
all QL
right JJ
, ,
Craig NP
'' ''
, ,
Rachel NP
said VBD
. .
`` ``
I PPSS
can MD
fix VB
him PPO
something PN
later RBR
in IN
the AT
afternoon NN
when WRB
we PPSS
get VB
home NR
'' ''
. .
Since CS
his PP$
seizure NN
, ,
Scotty NP
had HVD
had HVN
little AP
appetite NN
; .
; .
yet CC
his PP$
changed VBN
appearance NN
, ,
surprisingly RB
, ,
was BEDZ
one CD
of IN
plumpness NN
. .
His PP$
face NN
was BEDZ
fuller JJR
; .
; .
his PP$
lips NNS
and CC
the AT
usually RB
sharp JJ
lines NNS
of IN
his PP$
jaw NN
had HVD
become VBN
swollen-looking JJ
. .
He PPS
breathed VBD
now RB
with IN
his PP$
mouth NN
open JJ
, ,
showing VBG
a AT
whitely RB
curving VBG
section NN
of IN
lower JJR
teeth NNS
; .
; .
he PPS
kept VBD
his PP$
eyes NNS
, ,
with IN
their PP$
puffed VBN
blurred VBN
lids NNS
, ,
always RB
lowered VBN
, ,
though CS
not *
, ,
apparently RB
, ,
focusing VBG
. .
Even RB
his PP$
neck NN
seemed VBD
thicker JJR
and CC
, ,
therefore RB
, ,
shorter JJR
. .
His PP$
hands NNS
, ,
which WDT
had HVD
been BEN
as QL
quick JJ
as CS
a AT
pair NN
of IN
fluttering VBG
birds NNS
, ,
were BED
now RB
neither CC
active JJ
nor CC
really QL
relaxed VBN
. .
They PPSS
lay VBD
on IN
his PP$
lap NN
, ,
palms NNS
up RP
, ,
stiffly RB
motionless JJ
, ,
the AT
tapered VBN
fingers NNS
a AT
little QL
thick JJ
at IN
the AT
joints NNS
. .
Altogether RB
he PPS
had HVD
, ,
since IN
the AT
seizure NN
, ,
the AT
appearance NN
of IN
a AT
boy NN
who WPS
overindulged VBD
in IN
food NN
and CC
took VBD
no AT
exercise NN
. .
He PPS
looked VBD
lazy JJ
, ,
spoiled VBN
, ,
a AT
little QL
querulous JJ
. .
Rachel NP
had HVD
little AP
to TO
say VB
. .
She PPS
greeted VBD
her PP$
husband's NN$
colleagues NNS
with IN
smiling VBG
politeness NN
, ,
offering VBG
nothing PN
. .
Mr. NP
McKinley NP
, ,
for IN
all ABN
his PP$
sprawling VBG
and CC
his PP$
easy JJ
familiarity NN
, ,
was BEDZ
completely QL
alert JJ
to IN
his PP$
son NN
, ,
eyes NNS
always RB
on IN
the AT
still JJ
face NN
, ,
jumping VBG
to TO
anticipate VB
Scotty's NP$
desires NNS
. .
It PPS
was BEDZ
a AT
strained VBN
, ,
silent JJ
lunch NN
. .
Rachel NP
said VBD
, ,
`` ``
I'd PPSS+MD
better RBR
get VB
him PPO
to IN
bed NN
'' ''
. .
The AT
doctors NNS
had HVD
suggested VBN
Scotty NP
remain VB
most AP
of IN
every AT
afternoon NN
in IN
bed NN
until CS
he PPS
was BEDZ
stronger JJR
. .
Since CS
Mr. NP
McKinley NP
had HVD
to TO
give VB
a AT
lecture NN
, ,
Rachel NP
and CC
Scotty NP
drove VBD
home NR
alone RB
in IN
the AT
Plymouth NP
. .
They PPSS
did DOD
not *
speak VB
much RB
. .
Scotty NP
gazed VBD
out RP
at IN
ugly JJ
gray JJ
slums NNS
and CC
said VBD
softly RB
, ,
`` ``
Look VB
at IN
those DTS
stupid JJ
kids NNS
'' ''
. .
It PPS
was BEDZ
a AT
Negro NP
section NN
of IN
peeling VBG
row NN
houses NNS
, ,
store-front NN
churches NNS
and CC
ragged JJ
children NNS
. .
Rachel NP
had HVD
to TO
bend VB
toward IN
Scotty NP
and CC
ask VB
him PPO
to TO
repeat VB
. .
He PPS
said VBD
, ,
`` ``
Nothing PN
'' ''
. .
And CC
then RB
: :
`` ``
There EX
are BER
lots NNS
of IN
kids NNS
around IN
here RB
'' ''
. .
Scotty NP
looked VBD
at IN
the AT
children NNS
, ,
his PP$
mouth NN
slightly RB
opened VBN
, ,
his PP$
eyes NNS
dull JJ
. .
He PPS
felt VBD
tired JJ
and CC
full JJ
and CC
calm JJ
. .
Thirty-four CD-HL
the AT
days NNS
seemed VBD
short JJ
, ,
perhaps RB
because CS
his PP$
routine NN
was BEDZ
, ,
each DT
day NN
, ,
almost RB
the AT
same AP
. .
He PPS
rose VBD
late RB
and CC
went VBD
down RP
in IN
his PP$
bathrobe NN
and CC
slippers NNS
to TO
have HV
breakfast NN
either CC
alone RB
or CC
with IN
Rachel NP
. .
Virginia NP
treated VBD
him PPO
with IN
attention NN
and CC
tried VBD
to TO
tempt VB
his PP$
appetite NN
with IN
special JJ
food NN
: :
biscuits NNS
, ,
cookies NNS
, ,
candies NNS
-- --
the AT
result NN
of IN
devoted VBN
hours NNS
in IN
the AT
tiled VBN
kitchen NN
. .
She PPS
would MD
hover VB
over IN
him PPO
and CC
, ,
looking VBG
like CS
her PP$
brother NN
, ,
anxiously RB
watch VB
the AT
progress NN
of IN
Scotty's NP$
fork NN
or CC
spoon NN
. .
`` ``
You PPSS
don't DO*
eat VB
enough AP
, ,
honey NN
. .
Try VB
to TO
get VB
that DT
down RP
'' ''
. .
Rachel NP
, ,
observing VBG
, ,
would MD
say VB
, ,
`` ``
He PPS
has HVZ
to TO
rediscover VB
his PP$
own JJ
capacity NN
. .
It'll PPS+MD
take VB
time NN
'' ''
. .
Virginia NP
and CC
Rachel NP
talked VBD
to IN
each DT
other AP
quietly RB
now RB
, ,
as CS
allies NNS
who WPS
are BER
political JJ
rather RB
than CS
natural JJ
might NN
in IN
a AT
war NN
atmosphere NN
. .
Both ABX
watched VBD
Scotty NP
constantly RB
, ,
Rachel NP
without IN
seeming VBG
to TO
, ,
Virginia NP
openly RB
, ,
her PP$
eyes NNS
filled VBN
with IN
concern NN
. .
Scotty NP
was BEDZ
neutral JJ
. .
He PPS
did DOD
not *
resent VB
their PP$
supervision NN
or CC
Virginia's NP$
sometimes RB
tiring VBG
sympathy NN
. .
He PPS
ate VBD
what WDT
he PPS
felt VBD
like CS
, ,
slept VBD
as QL
much RB
or CC
as QL
little RB
as CS
he PPS
pleased VBD
, ,
and CC
moved VBD
about IN
the AT
draughty JJ
rooms NNS
of IN
the AT
house NN
, ,
when WRB
he PPS
was BEDZ
not *
in IN
bed NN
, ,
with IN
slow JJ
, ,
dubious JJ
steps NNS
, ,
like CS
an AT
elderly JJ
tourist NN
in IN
a AT
cathedral NN
. .
His PP$
energy NN
was BEDZ
gone VBN
. .
He PPS
was BEDZ
able JJ
, ,
now RB
, ,
to TO
sit VB
for IN
hours NNS
in IN
a AT
chair NN
in IN
the AT
living VBG
room NN
and CC
stare VB
out RP
at IN
the AT
bleak JJ
yard NN
without IN
moving VBG
. .
His PP$
hands NNS
lay VBD
loosely RB
, ,
yet CC
stiffly RB
-- --
they PPSS
were BED
like CS
wax NN
hands NNS
: :
almost QL
lifelike JJ
, ,
not *
quite QL
-- --
folded VBN
in IN
his PP$
lap NN
; .
; .
his PP$
mouth NN
hung VBD
slightly QL
open JJ
. .
When WRB
he PPS
was BEDZ
asked VBN
a AT
question NN
or CC
addressed VBN
in IN
such ABL
a AT
way NN
that CS
some DTI
response NN
was BEDZ
inescapable JJ
, ,
he PPS
would MD
answer VB
; .
; .
if CS
, ,
as CS
often RB
happened VBD
, ,
he PPS
had HVD
to TO
repeat VB
because CS
he PPS
had HVD
spoken VBN
too QL
softly RB
, ,
he PPS
would MD
repeat VB
his PP$
words NNS
in IN
the AT
same AP
way NN
, ,
without IN
emphasis NN
or CC
impatience NN
, ,
only RB
a AT
little QL
louder JJR
. .
He PPS
had HVD
not *
mentioned VBN
Kate NP
. .
He PPS
had HVD
not *
even RB
thought VBN
about IN
her PPO
much RB
except IN
once RB
or CC
twice RB
at IN
night NN
in IN
bed NN
when WRB
his PP$
slowly RB
ranging VBG
thoughts NNS
would MD
abruptly RB
, ,
almost QL
accidentally RB
, ,
encounter VB
her PPO
. .
At IN
these DTS
times NNS
he PPS
felt VBD
a AT
kind NN
of IN
pain NN
in IN
his PP$
upper JJ
chest NN
, ,
but CC
it PPS
was BEDZ
an AT
objective JJ
pain NN
, ,
in IN
no AT
way NN
different JJ
from IN
others NNS
in IN
intensity NN
and CC
not *
different JJ
in IN
kind NN
; .
; .
it PPS
was BEDZ
like CS
the AT
bandaged VBN
wound NN
on IN
the AT
back NN
of IN
his PP$
head NN
which WDT
occasionally RB
throbbed VBD
; .
; .
it PPS
was BEDZ
merely RB
another DT
part NN
of IN
his PP$
weakness NN
. .
He PPS
was BEDZ
calm JJ
, ,
drugged VBN
, ,
and CC
lazy JJ
. .
He PPS
did DOD
not *
care VB
. .
Rachel NP
mentioned VBD
Kate NP
. .
She PPS
said VBD
, ,
`` ``
I PPSS
notice VB
the AT
girl NN
from IN
across IN
the AT
street NN
hasn't HVZ*
bothered VBN
to TO
phone VB
or CC
visit VB
'' ''
. .
Scotty NP
said VBD
, ,
`` ``
That's DT+BEZ
all QL
right JJ
. .
Kate's NP+BEZ
all QL
right JJ
'' ''
. .
He PPS
thought VBD
about IN
it PPO
briefly RB
, ,
then RB
deliberately RB
turned VBD
the AT
talk NN
to IN
something PN
else RB
. .
Once RB
, ,
sitting VBG
at IN
the AT
front JJ
window NN
in IN
his PP$
parents' NNS$
room NN
, ,
he PPS
saw VBD
Kate NP
come VB
out RP
of IN
her PP$
house NN
. .
She PPS
was BEDZ
with IN
Elizabeth NP
. .
They PPSS
were BED
far RB
off RP
and CC
looked VBD
tiny JJ
. .
The AT
heavy JJ
branches NNS
in IN
his PP$
front JJ
yard NN
would MD
hide VB
and CC
then RB
reveal VB
them PPO
. .
They PPSS
turned VBD
at IN
the AT
bottom NN
of IN
Kate's NP$
steps NNS
and CC
moved VBD
off RP
in IN
the AT
direction NN
of IN
the AT
park NN
. .
He PPS
thought VBD
he PPS
saw VBD
-- --
it PPS
awakened VBD
and CC
, ,
for IN
a AT
moment NN
, ,
interested VBD
him PPO
-- --
that CS
Elizabeth NP
held VBD
a AT
leash NN
in IN
her PP$
hand NN
and CC
that CS
a AT
round JJ
fuzzy JJ
puppy NN
was BEDZ
on IN
the AT
end NN
of IN
the AT
leash NN
. .
Then RB
they PPSS
disappeared VBD
and CC
Scotty NP
got VBD
up RP
and CC
went VBD
into IN
his PP$
own JJ
room NN
and CC
got VBD
into IN
bed NN
. .
By IN
the AT
time NN
he PPS
was BEDZ
under IN
the AT
covers NNS
he PPS
had HVD
forgotten VBN
about IN
seeing VBG
Kate NP
. .
The AT
doctor NN
, ,
since CS
Scotty NP
was BEDZ
no QL
longer RBR
allowed VBN
to TO
make VB
his PP$
regular JJ
trips NNS
into IN
town NN
to TO
see VB
him PPO
, ,
came VBD
often RB
and CC
informally RB
to IN
the AT
house NN
. .
He PPS
would MD
sit VB
, ,
slim-waisted JJ
and CC
spare JJ
, ,
on IN
the AT
edge NN
of IN
Scotty's NP$
bed NN
, ,
his PP$
legs NNS
crossed VBN
so QL
elaborately RB
that CS
the AT
crossed VBN
foot NN
could MD
tap VB
the AT
floor NN
. .
Scotty NP
did DOD
not *
mind VB
the AT
doctor's NN$
unsmiling JJ
teasing NN
as CS
he PPS
used VBD
to TO
. .
`` ``
Husky JJ
young JJ
man NN
'' ''
, ,
he PPS
said VBD
with IN
mock JJ
distaste NN
. .
`` ``
I PPSS
imagine VB
you're PPSS+BER
always RB
battling VBG
in IN
school NN
'' ''
. .
`` ``
I PPSS
don't DO*
go VB
to TO
school VB
any QL
more RBR
'' ''
. .
`` ``
Pardon VB
'' ''
? .
? .
The AT
doctor NN
had HVD
to TO
bend VB
close RB
to TO
hear VB
; .
; .
his PP$
delicate JJ
hand NN
, ,
as QL
veined VBN
as CS
a AT
moth's NN$
wing NN
, ,
rested VBD
absently RB
on IN
Scotty's NP$
chest NN
. .
Scotty NP
said VBD
the AT
same AP
words NNS
more QL
loudly RB
. .
`` ``
Oh UH
. .
Well UH
, ,
we're PPSS+BER
taking VBG
a AT
little JJ
vacation NN
, ,
that's DT+BEZ
all ABN
'' ''
. .
He PPS
turned VBD
unsmilingly RB
to IN
Rachel NP
. .
`` ``
I PPSS
think VB
by IN
the AT
end NN
of IN
next AP
week NN
he PPS
could MD
get VB
out RP
in IN
the AT
air NN
a AT
little JJ
. .
He PPS
could MD
now RB
but CC
the AT
weakness NN
is BEZ
very QL
definite JJ
; .
; .
it PPS
would MD
exhaust VB
him PPO
further RBR
and CC
unnecessarily RB
. .
He'll PPS+MD
be BE
stronger JJR
soon RB
'' ''
. .
His PP$
stethoscope NN
was BEDZ
on IN
the AT
table NN
by IN
Scotty's NP$
bed NN
and CC
he PPS
picked VBD
it PPO
up RP
and CC
wagged VBD
it PPO
at IN
Scotty NP
. .
He PPS
said VBD
fussily RB
, ,
`` ``
Just RB
keep VB
the AT
cap NN
on IN
those DTS
strong JJ
emotions NNS
'' ''
. .
The AT
stethoscope NN
glinted VBD
silver NN
in IN
the AT
darkening VBG
room NN
. .
`` ``
I'll PPSS+MD
drop VB
by RB
again RB
in IN
a AT
few AP
days NNS
'' ''
. .
Rachel NP
stayed VBD
on RP
after CS
the AT
doctor NN
had HVD
gone VBN
. .
She PPS
smoothed VBD
the AT
covers NNS
on IN
Scotty's NP$
bed NN
and CC
picked VBD
things NNS
up RP
from IN
the AT
floor NN
. .
She PPS
did DOD
not *
touch VB
him PPO
. .
Scotty NP
watched VBD
with IN
disinterest NN
. .
He PPS
did DOD
not *
speak VB
. .
He PPS
had HVD
no AT
desire NN
to TO
. .
She PPS
said VBD
, ,
`` ``
Do DO
you PPSS
think VB
you'll PPSS+MD
miss VB
school NN
'' ''
? .
? .
He PPS
had HVD
noticed VBN
how WQL
formal JJ
and CC
irritably QL
exact JJ
Rachel NP
had HVD
grown VBN
. .
He PPS
did DOD
not *
care VB
. .
He PPS
felt VBD
her PP$
irritability NN
did DOD
not *
concern VB
him PPO
, ,
yet CC
he PPS
knew VBD
he PPS
would MD
not *
care VB
even RB
if CS
it PPS
did DOD
. .
He PPS
shook VBD
his PP$
head NN
. .
`` ``
We've PPSS+HV
had HVN
any DTI
number NN
of IN
calls NNS
about IN
you PPO
. .
You PPSS
could MD
win VB
a AT
popularity NN
contest NN
at IN
that DT
school NN
without IN
any DTI
trouble NN
. .
Miss NP
Estherson NP
called VBD
twice RB
. .
She PPS
wants VBZ
to TO
pay VB
you PPO
a AT
visit NN
. .
She PPS
says VBZ
the AT
children NNS
miss VB
you PPO
. .
Apparently RB
you PPSS
were BED
the AT
light NN
of IN
their PP$
lives NNS
'' ''
. .
Scotty NP
shrugged VBD
slightly RB
. .
Rachel NP
came VBD
close RB
to IN
the AT
bed NN
, ,
bent VBD
as CS
if CS
she PPS
would MD
kiss VB
him PPO
, ,
then RB
moved VBD
away RB
. .
She PPS
was BEDZ
frowning VBG
. .
`` ``
That DT
doctor NN
annoys VBZ
me PPO
'' ''
. .
She PPS
seemed VBD
to TO
speak VB
to IN
herself PPL
. .
`` ``
Do DO
you PPO
suppose VB
his PP$
self-consciousness NN
is BEZ
characteristic JJ
of IN
the AT
new JJ
Negro NP
professionals NNS
or CC
merely RB
of IN
doctors NNS
in IN
general JJ
'' ''
? .
? .
She PPS
turned VBD
to IN
him PPO
again RB
. .
`` ``
Well UH
, ,
Mrs. NP
Charles NP
-- --
Sally NP
-- --
has HVZ
phoned VBN
too RB
. .
She PPS
was BEDZ
very QL
worried VBN
'' ''
. .
Rachel's NP$
tone NN
was BEDZ
dry JJ
. .
`` ``
She PPS
didn't DOD*
really RB
say VB
'' ''
-- --
She PPS
glanced VBD
away RB
at IN
the AT
floor NN
, ,
then RB
swooped VBD
gracefully RB
and CC
picked VBD
up RP
one CD
of IN
Scotty's NP$
slippers NNS
. .
`` ``
I PPSS
mean VB
, ,
do DO
you PPSS
feel VB
like CS
seeing VBG
Kate NP
'' ''
? .
? .
Scotty NP
said VBD
, ,
`` ``
I PPSS
don't DO*
know VB
'' ''
. .
It PPS
was BEDZ
true JJ
. .
He PPS
did DOD
not *
. .
There EX
was BEDZ
the AT
slight JJ
pain NN
, ,
but CC
it PPS
was BEDZ
no QL
different JJ
from IN
the AT
throbbing NN
in IN
his PP$
head NN
. .
`` ``
Well UH
, ,
there's EX+BEZ
time NN
, ,
in IN
any DTI
case NN
. .
We'll PPSS+MD
wait VB
till CS
you're PPSS+BER
stronger JJR
and CC
then RB
talk VB
about IN
it PPO
'' ''
. .
She PPS
put VBD
the AT
slipper NN
neatly RB
by IN
its PP$
mate NN
at IN
the AT
foot NN
of IN
the AT
bed NN
. .
Scotty NP
said VBD
, ,
`` ``
Okay JJ
'' ''
. .
This DT
time NN
Rachel NP
kissed VBD
him PPO
lightly RB
on IN
the AT
forehead NN
. .
Scotty NP
was BEDZ
pleased VBN
. .
His PP$
father NN
was BEDZ
a AT
constant JJ
visitor NN
. .
Scotty NP
would MD
hear VB
the AT
front JJ
door NN
in IN
the AT
evening NN
and CC
then RB
his PP$
father's NN$
deep JJ
slow JJ
voice NN
; .
; .
it PPS
floated VBD
up IN
the AT
stairs NNS
. .
`` ``
How's WRB+BEZ
Scotty NP
'' ''
? .
? .
And CC
Rachel's NP$
or CC
Virginia's NP$
reply NN
: :
`` ``
better JJR
. .
He's PPS+BEZ
getting VBG
plenty NN
of IN
rest NN
'' ''
. .
`` ``
Is BEZ
his PP$
appetite NN
improved VBN
'' ''
? .
? .
Or CC
: :
`` ``
Does DOZ
he PPS
get VB
exercise NN
'' ''
? .
? .
The AT
exchange NN
was BEDZ
almost QL
invariable JJ
, ,
and CC
Scotty NP
, ,
in IN
his PP$
bed NN
, ,
could MD
hear VB
every AT
word NN
of IN
it PPO
. .
He PPS
never RB
smiled VBD
. .
It PPS
required VBD
an AT
energy NN
he PPS
no QL
longer RBR
possessed VBD
to TO
be BE
satirical JJ
about IN
his PP$
father NN
. .
His PP$
father NN
would MD
come VB
upstairs RB
and CC
stand VB
self-consciously RB
at IN
the AT
foot NN
of IN
the AT
bed NN
and CC
look VB
at IN
his PP$
son NN
. .
After IN
a AT
pause NN
, ,
during IN
which WDT
he PPS
studied VBD
Scotty's NP$
face NN
as CS
if CS
Scotty NP
were BED
not *
there RB
and CC
could MD
not *
study VB
him PPO
too RB
, ,
Mr. NP
McKinley NP
would MD
ask VB
the AT
same AP
questions NNS
he PPS
had HVD
asked VBN
downstairs RB
. .
Scotty NP
would MD
reply VB
softly RB
and CC
his PP$
father NN
, ,
apologetically RB
, ,
would MD
ask VB
him PPO
to TO
repeat VB
. .
`` ``
I'm PPSS+BEM
eating VBG
more AP
'' ''
, ,
he PPS
would MD
say VB
. .
Or CC
: :
`` ``
I PPSS
walk VB
around IN
the AT
house NN
a AT
lot NN
'' ''
. .
`` ``
Perhaps RB
you PPSS
should MD
get VB
out RP
a AT
little JJ
'' ''
. .
`` ``
I'm PPSS+BEM
not *
supposed VBN
to TO
yet RB
'' ''
. .
He PPS
was BEDZ
not *
irritated VBN
. .
He PPS
did DOD
not *
mind VB
the AT
useless JJ
, ,
kindly JJ
questions NNS
. .
He PPS
looked VBD
at IN
the AT
lined VBN
face NN
with IN
vague JJ
interest NN
; .
; .
he PPS
felt VBD
he PPS
was BEDZ
noting VBG
it PPO
, ,
as CS
if CS
it PPS
were BED
something PN
he PPS
might MD
think VB
about IN
when WRB
he PPS
grew VBD
stronger JJR
. .
Mr. NP
McKinley NP
examined VBD
everything PN
with IN
critical JJ
care NN
, ,
seeking VBG
something PN
material NN
to TO
blame VB
for IN
his PP$
son's NN$
illness NN
. .
`` ``
Have HV
you PPSS
got VBN
enough AP
blankets NNS
'' ''
? .
? .
And CC
another DT
time NN
, ,
without IN
accusation NN
: :
`` ``
You PPSS
never RB
wore VBD
that DT
scarf NN
I PPSS
bought VBD
you PPO
'' ''
. .
Where WRB
their PP$
sharp JJ
edges NNS
seemed VBD
restless JJ
as CS
sea NN
waves NNS
thrusting VBG
themselves PPLS
upward RB
in IN
angry JJ
motion NN
, ,
Papa-san NP
sat VBD
glacier-like JJ
, ,
his PP$
smooth JJ
solidity NN
, ,
his PP$
very AP
immobility NN
defying VBG
all ABN
the AT
turmoil NN
about IN
him PPO
. .
`` ``
Our PP$
objective NN
'' ''
, ,
the AT
colonel NN
had HVD
said VBN
that DT
day NN
of IN
the AT
briefing NN
, ,
`` ``
is BEZ
Papa-san NP
'' ''
. .
There RB
the AT
objective NN
sat VBD
, ,
brooding VBG
over IN
all ABN
. .
Gouge VB
, ,
burn VB
, ,
blast VB
, ,
insult VB
it PPO
as CS
they PPSS
would MD
, ,
could MD
anyone PN
really RB
take VB
Papa-san NP
? .
? .
Between IN
the AT
ponderous JJ
hulk NN
and CC
himself PPL
, ,
in IN
the AT
valley NN
over IN
which WDT
Papa-san NP
reigned VBD
, ,
men NNS
had HVD
hidden VBN
high JJ
explosives NNS
, ,
booby JJ
traps NNS
, ,
and CC
mines NNS
. .
The AT
raped VBN
valley NN
was BEDZ
a AT
pregnant JJ
womb NN
awaiting VBG
abortion NN
. .
On IN
the AT
forward JJ
slope NN
in IN
front NN
of IN
his PP$
own JJ
post NN
stretched VBD
two CD
rows NNS
of IN
barbed VBN
wire NN
. .
At IN
the AT
slope's NN$
base NN
coils NNS
of IN
concertina NN
stretched VBD
out RP
of IN
eye NN
range NN
like CS
a AT
wild JJ
tangle NN
of IN
children's NNS$
hoops NNS
, ,
stopped VBD
simultaneously RB
, ,
weirdly RB
poised VBN
as CS
if CS
awaiting VBG
the AT
magic NN
of IN
the AT
child's NN$
touch NN
to TO
start VB
them PPO
all ABN
rolling VBG
again RB
. .
Closer RBR
still RB
, ,
regular JJ
barricades NNS
of IN
barbed VBN
wire NN
hung VBD
on IN
timber NN
supports NNS
. .
Was BEDZ
it PPS
all ABN
vain JJ
labor NN
? .
? .
Who WPS
would MD
clean VB
up RP
the AT
mess NN
when WRB
the AT
war NN
was BEDZ
over JJ
? .
? .
Smiling VBG
at IN
his PP$
quixotic JJ
thoughts NNS
, ,
Warren NP
turned VBD
back RB
from IN
the AT
opening NN
and CC
lit VBD
a AT
cigarette NN
before CS
sitting VBG
down RP
. .
Tonight NR
a AT
group NN
of IN
men NNS
, ,
tomorrow NR
night NN
he PPS
himself PPL
, ,
would MD
go VB
out IN
there RB
somewhere RB
and CC
wait VB
. .
If CS
he PPS
were BED
to TO
go VB
with IN
White NP
, ,
he PPS
would MD
be BE
out IN
there RB
two CD
days NNS
, ,
not *
just RB
listening VBG
in IN
the AT
dark NN
at IN
some DTI
point NN
between IN
here RB
and CC
Papa-san NP
, ,
but CC
moving VBG
ever RB
deeper RBR
into IN
enemy NN
land NN
-- --
behind IN
Papa-san NP
-- --
itself PPL
. .
Was BEDZ
this DT
what WDT
he PPS
had HVD
expected VBN
? .
? .
He PPS
hadn't HVD*
realized VBN
that CS
there EX
would MD
be BE
so QL
much AP
time NN
to TO
think VB
, ,
so QL
many AP
lulls NNS
. .
Somehow RB
he PPS
had HVD
forgotten VBN
what WDT
he PPS
must MD
have HV
been BEN
told VBN
, ,
that CS
combat NN
was BEDZ
an AT
intermittent JJ
activity NN
. .
Now RB
he PPS
knew VBD
that CS
the AT
moment NN
illuminated VBN
by IN
the AT
vision NN
on IN
the AT
train NN
would MD
have HV
to TO
be BE
approached VBN
. .
It PPS
could MD
take VB
place NN
tomorrow NR
night NN
, ,
or CC
it PPS
might MD
occur VB
months NNS
from IN
now RB
. .
There EX
was BEDZ
just RB
too QL
much AP
time NN
. .
Time NN
to TO
become VB
afraid JJ
. .
White's NP$
suggestion NN
flattered VBD
, ,
but CC
he PPS
did DOD
not *
like VB
the AT
identity NN
. .
He PPS
